datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-13 11:07:10.000,2022-09-13 11:06:51.000,20220913-110000,moose22_c2200_20220913-110651-1-37,86.82785990232296,0.0
2022-09-13 11:11:06.000,2022-09-13 11:11:00.000,20220913-110000,moose22_c2200_20220913-111100-1-60,111.19737471597423,0.3333333333339775
2022-09-13 11:11:09.000,2022-09-13 11:11:06.500,20220913-110000,moose22_c2200_20220913-111106-2-67,143.34031781997575,0.0
2022-09-13 11:17:47.000,2022-09-13 11:17:40.000,20220913-110000,moose22_c2200_20220913-111740-1-79,-32.021511032539884,0.04761904761900431
2022-09-13 11:17:51.000,2022-09-13 11:17:48.000,20220913-110000,moose22_c2200_20220913-111748-1-89,-27.10472516036405,-0.22222222222202012
2022-09-13 11:17:56.000,2022-09-13 11:17:53.000,20220913-110000,moose22_c2200_20220913-111753-1-95,-21.07622443675886,0.0
2022-09-13 11:18:38.500,2022-09-13 11:18:01.500,20220913-110000,moose22_c2200_20220913-111801-2-102,158.95275126697769,-0.054054054054004895
2022-09-13 11:21:12.000,2022-09-13 11:20:58.500,20220913-110000,moose22_c2200_20220913-112058-2-154,7.800894314598922,0.0246913580246689
2022-09-13 11:21:22.000,2022-09-13 11:21:16.000,20220913-110000,moose22_c2200_20220913-112116-1-169,-5.8668322599883735,0.11111111111101006
2022-09-13 11:21:37.000,2022-09-13 11:21:29.000,20220913-110000,moose22_c2200_20220913-112129-1-174,-8.015522402295213,-0.04166666666662877
2022-09-13 12:02:01.000,2022-09-13 12:01:52.000,20220913-120000,moose22_c2200_20220913-120152-1-1,53.631240779449826,0.037037037037634946
2022-09-13 12:02:38.000,2022-09-13 12:02:33.000,20220913-120000,moose22_c2200_20220913-120233-1-15,14.99096703224166,-1.1368683772161603e-12
2022-09-13 12:03:19.000,2022-09-13 12:03:05.000,20220913-120000,moose22_c2200_20220913-120305-1-23,59.678888994724616,0.09523809523800862
2022-09-13 12:09:29.000,2022-09-13 12:09:25.000,20220913-120000,moose22_c2200_20220913-120925-1-42,-34.965405380332285,-0.24999999999977263
2022-09-13 12:28:32.000,2022-09-13 12:28:25.000,20220913-120000,moose22_c2200_20220913-122825-1-61,-27.682105097495466,-0.04761904761900431
2022-09-13 13:07:17.000,2022-09-13 13:07:01.500,20220913-130000,moose22_c2200_20220913-130701-2-12,83.58466379820268,-0.12903225806439877
2022-09-13 13:07:58.000,2022-09-13 13:07:36.500,20220913-130000,moose22_c2200_20220913-130736-2-38,105.51677116777223,-0.23255813953467222
2022-09-13 13:08:29.000,2022-09-13 13:08:26.500,20220913-130000,moose22_c2200_20220913-130826-2-68,104.60069624789708,0.5333333333328483
2022-09-13 13:08:40.000,2022-09-13 13:08:32.000,20220913-130000,moose22_c2200_20220913-130832-1-72,132.21634778994218,0.12499999999988631
2022-09-13 13:11:40.000,2022-09-13 13:11:21.000,20220913-130000,moose22_c2200_20220913-131121-1-87,49.33042709413634,0.0350877192982137
2022-09-13 14:16:09.000,2022-09-13 14:16:06.000,20220913-140000,moose22_c2200_20220913-141606-1-11,177.59545693962346,-0.33333333333303017
2022-09-13 14:16:23.000,2022-09-13 14:16:15.500,20220913-140000,moose22_c2200_20220913-141615-2-16,82.76569943202384,-0.1777777777768582
2022-09-13 14:16:27.000,2022-09-13 14:16:25.000,20220913-140000,moose22_c2200_20220913-141625-1-21,57.95640541776306,0.6666666666660603
2022-09-13 15:01:06.000,2022-09-13 15:01:03.000,20220913-150000,moose22_c2200_20220913-150103-1-8,162.32708515180852,-0.44444444444404024
2022-09-13 15:01:21.000,2022-09-13 15:01:09.000,20220913-150000,moose22_c2200_20220913-150109-1-12,137.6306660639897,-0.08333333333325754
2022-09-13 15:01:35.000,2022-09-13 15:01:32.000,20220913-150000,moose22_c2200_20220913-150132-1-29,143.92738788620193,-0.22222222222202012
2022-09-13 15:01:49.000,2022-09-13 15:01:36.000,20220913-150000,moose22_c2200_20220913-150136-1-34,57.04502186770631,-0.02564102564100232
